gene_symbol,expression_value
TAF15,11.5226
CHEK1,9.327
PDCD6,11.0945
PRPS1,10.1246
PRPS2,9.3427
ADSL,11.5908
IMPDH1,11.0742
IMPDH2,12.3004
XDH,5.6446
NME1,11.4134
NME2,12.6244
POLR1A,9.9685
POLR2A,12.2487
POLR3A,9.9359
