gene_symbol,expression_value
TAF15,11.5491
CHEK1,5.8247
PDCD6,10.1433
PRPS1,11.5043
PRPS2,8.6459
ADSL,10.1558
IMPDH1,5.8792
IMPDH2,11.3631
XDH,6.8669
NME1,11.4707
NME2,13.4536
POLR1A,8.2136
POLR2A,10.42
POLR3A,7.6573
