gene_symbol,expression_value
DNMT3B,5.2644
PPP1R1A,3.5569
CLDN1,6.6692
CLDN2,12.0587
CLDN3,9.9434
CLDN4,12.1576
CLDN7,10.9994
CLDN8,0.0
OCLN,9.1139
TJP1,11.1986
TJP2,10.6943
F11R,12.2029
JAM2,7.236
JAM3,9.8626
CGN,11.0206
MPP5,10.3508
PARD3,9.9583
PARD6A,7.1526
